model,candidate_mae,candidate_rmse,mae_improvement,ci_low,ci_high
mean_polar_linear,26.972492109184863,34.20932852453425,13.053049832402433,-6.9989908540465535,31.298890032976665
sqrt_mean_polar_linear,26.832943145798687,33.19820714000625,13.192598795788609,-5.988319220774633,32.55173394138829
target_dispersion_weighted_linear,25.926731286579308,35.421252539519,14.098810655007986,-10.636806425627725,36.430544471480594
weakest_hemisphere_linear,26.729361098582057,30.885022502529733,13.296180843005237,-2.0922141707160504,29.65126437844173
